Key,Country
11000,Afghanistan
11001,Albania
11002,Algeria
11003,Angola
11004,Argentina
11005,Armenia
11006,Australia
11007,Austria
11008,Azerbaijan
11009,Bahrain
11010,Bangladesh
11011,Barbados
11012,Belarus
11013,Belgium
11014,Benin
11015,Bolivia
11016,Bosnia and Herzegovina
11017,Brazil
11018,Bulgaria
11019,Burundi
11020,Cambodia
11021,Cameroon
11022,Canada
11023,Central African Republic
11024,Chad
11025,Chile
11026,China
11027,Colombia
11028,Cote d'Ivoire
11029,Croatia
11030,Cuba
11031,Czech Republic
11032,Democratic Republic of the Congo
11033,Denmark
11034,Djibouti
11035,Dominican Republic
11036,Ecuador
11037,Egypt
11038,El Salvador
11039,Equatorial Guinea
11040,Eritrea
11041,Estonia
11042,Ethiopia
11043,Finland
11044,France
11045,Gabon
11046,Georgia
11047,Germany
11048,Ghana
11049,Guadeloupe
11050,Guatemala
11051,Guinea
11052,Guinea-Bissau
11053,Haiti
11054,Honduras
11055,Hong Kong
11056,Hungary
11057,India
11058,Indonesia
11059,Iran
11060,Iraq
11061,Ireland
11062,Israel
11063,Italy
11064,Jamaica
11065,Japan
11066,Jordan
11067,Kazakhstan
11068,Kenya
11069,Kyrgyzstan
11070,Lebanon
11071,Lesotho
11072,Liberia
11073,Libya
11074,Lithuania
11075,Macedonia
11076,Madagascar
11077,Malaysia
11078,Mali
11079,Martinique
11080,Mauritania
11081,Mexico
11082,Moldova
11083,Mongolia
11084,Montenegro
11085,Morocco
11086,Mozambique
11087,Myanmar (Burma)
11088,Namibia
11089,Nepal
11090,Netherlands
11091,New Zealand
11092,Nicaragua
11093,Niger
11094,Nigeria
11095,Norway
11096,Pakistan
11097,Panama
11098,Papua New Guinea
11099,Paraguay
11100,Peru
11101,Philippines
11102,Poland
11103,Portugal
11104,Qatar
11105,Republic of the Congo
11106,Romania
11107,Russia
11108,Rwanda
11109,Saudi Arabia
11110,Senegal
11111,Sierra Leone
11112,Singapore
11113,Slovakia
11114,Slovenia
11115,Somalia
11116,South Africa
11117,South Korea
11118,South Sudan
11119,Spain
11120,Sri Lanka
11121,Sudan
11122,Swaziland
11123,Sweden
11124,Switzerland
11125,Syria
11126,Taiwan
11127,Tajikistan
11128,Tanzania
11129,Thailand
11130,Togo
11131,Trinidad and Tobago
11132,Tunisia
11133,Turkey
11134,Turkmenistan
11135,Uganda
11136,Ukraine
11137,United Arab Emirates
11138,United Kingdom
11139,United States
11140,Uruguay
11141,Uzbekistan
11142,Venezuela
11143,Vietnam
11144,Yemen
11145,Zambia
11146,Zimbabwe
