Key,Year,Quarter,Month
1000,2011,1,1
1001,2011,1,2
1002,2011,1,3
1003,2011,2,4
1004,2011,2,5
1005,2011,2,6
1006,2011,3,7
1007,2011,3,8
1008,2011,3,9
1009,2011,4,10
1010,2011,4,11
1011,2011,4,12
1012,2012,1,1
1013,2012,1,2
1014,2012,1,3
1015,2012,2,4
1016,2012,2,5
1017,2012,2,6
1018,2012,3,7
1019,2012,3,8
1020,2012,3,9
1021,2012,4,10
1022,2012,4,11
1023,2012,4,12
1024,2013,1,1
1025,2013,1,2
1026,2013,1,3
1027,2013,2,4
1028,2013,2,5
1029,2013,2,6
1030,2013,3,7
1031,2013,3,8
1032,2013,3,9
1033,2013,4,10
1034,2013,4,11
1035,2013,4,12
1036,2014,1,1
1037,2014,1,2
1038,2014,1,3
1039,2014,2,4
1040,2014,2,5
1041,2014,2,6
1042,2014,3,7
1043,2014,3,8
1044,2014,3,9
1045,2014,4,10
1046,2014,4,11
1047,2014,4,12
