Key,Year,Quarter,Month
2000,2011,1,1
2001,2011,1,2
2002,2011,1,3
2003,2011,2,4
2004,2011,2,5
2005,2011,2,6
2006,2011,3,7
2007,2011,3,8
2008,2011,3,9
2009,2011,4,10
2010,2011,4,11
2011,2011,4,12
2012,2012,1,1
2013,2012,1,2
2014,2012,1,3
2015,2012,2,4
2016,2012,2,5
2017,2012,2,6
2018,2012,3,7
2019,2012,3,8
2020,2012,3,9
2021,2012,4,10
2022,2012,4,11
2023,2012,4,12
2024,2013,1,1
2025,2013,1,2
2026,2013,1,3
2027,2013,2,4
2028,2013,2,5
2029,2013,2,6
2030,2013,3,7
2031,2013,3,8
2032,2013,3,9
2033,2013,4,10
2034,2013,4,11
2035,2013,4,12
2036,2014,1,1
2037,2014,1,2
2038,2014,1,3
2039,2014,2,4
2040,2014,2,5
2041,2014,2,6
2042,2014,3,7
2043,2014,3,8
2044,2014,3,9
2045,2014,4,10
2046,2014,4,11
2047,2014,4,12
2048,2015,1,1
