Key,City
9000,Alexandria
9001,Amarillo
9002,Atlanta
9003,Bandung
9004,Behshahr
9005,Berlin
9006,Bhopal
9007,Brisbane
9008,Burlington
9009,Bytom
9010,Casablanca
9011,Celle
9012,Chicago
9013,Chinandega
9014,Concord
9015,Dakar
9016,Delhi
9017,Dhaka
9018,Duisburg
9019,Edinburgh
9020,Fresno
9021,Geraldton
9022,Gold Coast
9023,Gorakhpur
9024,Gómez Palacio
9025,Hamilton
9026,Henderson
9027,Huddersfield
9028,Huntington Beach
9029,Jackson
9030,Jamshedpur
9031,Jinan
9032,Jizan
9033,Juárez
9034,Kabul
9035,Kamina
9036,Kananga
9037,Kharkiv
9038,Krefeld
9039,Leipzig
9040,Lille
9041,London
9042,Los Angeles
9043,Maputo
9044,Mataram
9045,Meknes
9046,Melbourne
9047,Minneapolis
9048,Montreuil
9049,Montréal
9050,Mudanjiang
9051,Munster
9052,Naihati
9053,Nanchong
9054,New York City
9055,Palembang
9056,Paris
9057,Paysandú
9058,Philadelphia
9059,Porirua
9060,Prato
9061,Raipur
9062,Richmond
9063,Sacramento
9064,Saint-Brieuc
9065,Santo Domingo
9066,Seattle
9067,Seville
9068,Shouguang
9069,Soyapango
9070,Stockton-on-Tees
9071,Surat
9072,Suzhou
9073,Sydney
9074,Taipei
9075,Tallahassee
9076,Thiruvananthapuram
9077,Toledo
9078,Tongi
9079,Townsville
9080,Uvinza
9081,Wollongong
9082,Wuxi
