Key,Year,Quarter,Month
1000,2011,1,1
1001,2011,1,3
1002,2011,2,4
1003,2011,2,5
1004,2011,3,9
1005,2011,4,10
1006,2011,4,11
1007,2011,4,12
1008,2012,1,1
1009,2012,1,2
1010,2012,1,3
1011,2012,2,4
1012,2012,2,5
1013,2012,2,6
1014,2012,3,7
1015,2012,3,8
1016,2012,3,9
1017,2012,4,10
1018,2012,4,11
1019,2012,4,12
1020,2013,1,1
1021,2013,1,2
1022,2013,1,3
1023,2013,2,5
1024,2013,2,6
1025,2013,3,8
1026,2013,4,10
1027,2013,4,11
1028,2013,4,12
1029,2014,1,1
1030,2014,1,3
1031,2014,2,5
1032,2014,3,7
1033,2014,3,8
1034,2014,3,9
1035,2014,4,10
1036,2014,4,11
1037,2014,4,12
