Key,Year,Quarter,Month
2000,2011,1,1
2001,2011,1,3
2002,2011,2,4
2003,2011,2,5
2004,2011,3,9
2005,2011,4,10
2006,2011,4,11
2007,2011,4,12
2008,2012,1,1
2009,2012,1,2
2010,2012,1,3
2011,2012,2,4
2012,2012,2,5
2013,2012,2,6
2014,2012,3,7
2015,2012,3,8
2016,2012,3,9
2017,2012,4,10
2018,2012,4,11
2019,2012,4,12
2020,2013,1,1
2021,2013,1,2
2022,2013,1,3
2023,2013,2,5
2024,2013,2,6
2025,2013,3,7
2026,2013,3,8
2027,2013,3,9
2028,2013,4,10
2029,2013,4,11
2030,2013,4,12
2031,2014,1,1
2032,2014,1,2
2033,2014,1,3
2034,2014,2,5
2035,2014,3,7
2036,2014,3,8
2037,2014,3,9
2038,2014,4,10
2039,2014,4,11
2040,2014,4,12
