Key,State
10000,Andalusía
10001,Anhui
10002,Berlin
10003,Brittany
10004,California
10005,Chihuahua
10006,Chinandega
10007,Cidade De Maputo
10008,Dakar
10009,Delhi
10010,Dhaka
10011,Durango
10012,England
10013,Florida
10014,Georgia
10015,Grand Casablanca
10016,Gujarat
10017,Haryana
10018,Heilongjiang
10019,Ile-de-France
10020,Illinois
10021,Jawa Barat
10022,Jharkhand
10023,Jiangsu
10024,Jizan
10025,Kabul
10026,Kasai-Occidental
10027,Katanga
10028,Kentucky
10029,Kerala
10030,Kharkiv
10031,Kigoma
10032,Lower Saxony
10033,Madhya Pradesh
10034,Mazandaran
10035,Meknès-Tafilalet
10036,Michigan
10037,Minnesota
10038,Nevada
10039,New South Wales
10040,New York
10041,Nord-Pas-de-Calais
10042,North Carolina
10043,North Rhine-Westphalia
10044,Nusa Tenggara Barat
10045,Parana
10046,Paysandú
10047,Pennsylvania
10048,Quebec
10049,Queensland
10050,San Salvador
10051,Santo Domingo
10052,Saxony
10053,Scotland
10054,Shandong
10055,Sichuan
10056,Silesia
10057,Sumatera Selatan
10058,Taipei City
10059,Texas
10060,Tuscany
10061,Uttarakhand
10062,Victoria
10063,Virginia
10064,Waikato
10065,Washington
10066,Wellington
10067,West Bengal
10068,Western Australia
