Key,Year,Quarter,Month
1000,2007,1,1
1001,2007,1,2
1002,2007,1,3
1003,2007,2,4
1004,2007,2,5
1005,2007,2,6
1006,2007,3,7
1007,2007,3,8
1008,2007,3,9
1009,2007,4,10
1010,2007,4,11
1011,2007,4,12
1012,2008,1,1
1013,2008,1,2
1014,2008,1,3
1015,2008,2,4
1016,2008,2,5
1017,2008,2,6
1018,2008,3,7
1019,2008,3,8
1020,2008,3,9
1021,2008,4,10
1022,2008,4,11
1023,2008,4,12
1024,2009,1,1
1025,2009,1,2
1026,2009,1,3
1027,2009,2,4
1028,2009,2,5
1029,2009,2,6
1030,2009,3,7
1031,2009,3,8
1032,2009,3,9
1033,2009,4,10
1034,2009,4,11
1035,2009,4,12
1036,2010,1,1
1037,2010,1,2
1038,2010,1,3
1039,2010,2,4
1040,2010,2,5
1041,2010,2,6
1042,2010,3,7
1043,2010,3,8
1044,2010,3,9
1045,2010,4,10
1046,2010,4,11
1047,2010,4,12
