Key,Product Name
13000,"""While you Were Out"" Message Book, One Form per Page"
13001,#10 Self-Seal White Envelopes
13002,"#10 White Business Envelopes,4 1/8 x 9 1/2"
13003,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes"
13004,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes"
13005,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
13006,#6 3/4 Gummed Flap White Envelopes
13007,*Staples* Highlighting Markers
13008,*Staples* Letter Opener
13009,*Staples* Packaging Labels
13010,"*Staples* vLetter Openers, 2/Pack"
13011,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
13012,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack"
13013,12 Colored Short Pencils
13014,12-1/2 Diameter Round Wall Clock
13015,14-7/8 x 11 Blue Bar Computer Printout Paper
13016,1726 Digital Answering Machine
13017,"210 Trimline Phone, White"
13018,2160
13019,2160i
13020,2180
13021,2190
13022,2300 Heavy-Duty Transfer File Systems by Perma
13023,232
13024,"24 Capacity Maxi Data Binder Racks, Pearl"
13025,252
13026,270c
13027,282
13028,"3.5"" IBM Formatted Diskettes, DS/HD"
13029,3.6 Cubic Foot Counter Height Office Refrigerator
13030,300 Series Non-Flip
13031,3285
13032,3390
13033,3395
13034,36X48 HARDFLOOR CHAIRMAT
13035,3M Hangers With Command Adhesive
13036,3M Office Air Cleaner
13037,3M Organizer Strips
13038,3M Polarizing Light Filter Sleeves
13039,"3M Polarizing Task Lamp with Clamp Arm, Light Gray"
13040,4009® Highlighters by Sanford
13041,5125
13042,5165
13043,5170
13044,5170i
13045,5180
13046,5185
13047,5190
13048,"6"" Cubicle Wall Clock, Black"
13049,600 Series Flip
13050,600 Series Non-Flip
13051,6000
13052,6120
13053,6160
13054,6162
13055,6162i
13056,6162m
13057,6185
13058,6190
13059,6340
13060,636
13061,688
13062,7160
13063,"80 Minute CD-R Spindle, 100/Pack - Staples"
13064,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples"
13065,8260
13066,8290
13067,8860
13068,8890
13069,9-3/4 Diameter Round Wall Clock
13070,A1228
13071,"ACCOHIDE® 3-Ring Binder, Blue, 1"""
13072,ACCOHIDE® Binder by Acco
13073,APC 7 Outlet Network SurgeArrest Surge Protector
13074,AT&T 1430 2.4GHz Analog Phone w/Caller ID
13075,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting
13076,"AT&T Black Trimline Phone, Model 210"
13077,Accessory1
13078,Accessory12
13079,Accessory13
13080,Accessory15
13081,Accessory17
13082,Accessory2
13083,Accessory20
13084,Accessory21
13085,Accessory23
13086,Accessory24
13087,Accessory25
13088,Accessory27
13089,Accessory28
13090,Accessory29
13091,Accessory31
13092,Accessory32
13093,Accessory34
13094,Accessory35
13095,Accessory36
13096,Accessory37
13097,Accessory39
13098,Accessory4
13099,Accessory41
13100,Accessory6
13101,Accessory8
13102,Accessory9
13103,Acco 3-Hole Punch
13104,Acco 6 Outlet Guardian Premium Surge Suppressor
13105,"Acco Clips to Go™ Binder Clips, 24 Clips in Two Sizes"
13106,Acco D-Ring Binder w/DublLock®
13107,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1"""
13108,Acco Keyboard-In-A-Box®
