Order Date,Ship Date,Order ID,Order Priority,Ship Mode,Customer Name,Customer State,Zip Code,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Order Quantity,Sales,Discount,Profit,Unit Price,Shipping Cost,Product Base Margin
1000,2000,3006,4002,5002,6060,7017,8057,9002,10000,11001,12011,13794,14006,41,108.15,0.09,7.57,2.88,0.7,0.56
1000,2000,3029,4004,5002,6240,7017,8063,9002,10002,11001,12010,13890,14006,24,188.73,0.05,-32.48,7.64,5.83,0.36
1000,2000,3111,4001,5002,6506,7012,8120,9000,10000,11002,12004,13749,14005,6,165.75,0.03,-28.46,28.48,1.99,0.4
1000,2000,3111,4001,5002,6506,7012,8120,9000,10000,11002,12016,13031,14004,11,2021.147,0.01,-60.39,205.99,5.99,0.59
1000,2000,3188,4003,5000,6083,7010,8050,9002,10003,11001,12000,13927,14001,24,7871.91,0.05,541.47,328.14,91.05,0.57
1000,2000,3232,4000,5002,6676,7008,8175,9003,10000,11000,12008,13901,14003,6,679.6,0.02,-85.76,110.98,13.99,0.69
1000,2000,3232,4000,5002,6676,7008,8175,9003,10000,11001,12010,14032,14006,30,257.42,0.01,59.18,8.01,2.87,0.4
1000,2000,3295,4003,5001,6358,7017,8060,9002,10002,11002,12005,13321,14002,3,2119.67,0.07,-2314.74,699.99,24.49,0.41
1000,2000,3295,4003,5002,6358,7017,8060,9002,10002,11001,12001,13224,14004,3,10.58,0.05,-11.5805,1.98,4.77,0.4
1000,2000,3295,4003,5002,6358,7017,8060,9002,10002,11002,12009,13860,14002,7,45923.76,0.07,102.609999999997,6783.02,24.49,0.39
1000,2000,3397,4001,5002,6672,7021,8185,9003,10002,11000,12008,13468,14005,3,75.77,0.03,64.25,22.72,8.99,0.44
1000,2000,3397,4001,5002,6672,7021,8185,9003,10002,11001,12007,13183,14004,16,64.29,0.07,14.42,4.13,0.99,0.39
1000,2000,3625,4003,5001,6783,7017,8059,9002,10000,11000,12008,13512,14005,19,129.84,0.05,2.39,6.64,4.95,0.37
1000,2000,3625,4003,5001,6783,7017,8059,9002,10000,11001,12001,13541,14004,1,22.13,0.07,-2.392,7.68,6.16,0.35
1000,2000,3627,4002,5002,6705,7014,8018,9001,10002,11001,12010,13574,14004,41,217.0,0.01,-61.21,4.98,4.75,0.36
1000,2000,3627,4002,5002,6705,7014,8018,9001,10002,11001,12010,14038,14006,47,296.13,0.04,119.09,6.35,1.02,0.39
1000,2000,3642,4000,5002,6306,7007,8108,9002,10001,11000,12008,13423,14005,4,11.08,0.06,-8.93,1.74,4.08,0.53
1000,2000,3658,4001,5002,6661,7016,8026,9001,10001,11001,12001,13520,14004,25,21752.01,0.03,9296.348,896.99,19.99,0.38
1000,2000,3675,4002,5000,6314,7023,8223,9003,10002,11000,12003,13559,14001,12,4080.3,0.05,593.79,350.99,39.0,0.55
1000,2000,3675,4002,5002,6314,7023,8223,9003,10002,11001,12006,13003,14004,28,260.79,0.0,111.4,8.74,1.39,0.38
1000,2000,3675,4002,5002,6314,7023,8223,9003,10002,11001,12012,13297,14006,44,90.35,0.02,-16.72,1.98,0.7,0.83
1000,2000,3698,4000,5002,6030,7020,8150,9000,10002,11002,12004,13836,14004,6,187.37,0.09,-125.96,32.98,5.5,0.75
1000,2000,3707,4001,5002,6022,7019,8069,9002,10002,11001,12011,13389,14006,29,122.23,0.03,24.55,4.26,1.2,0.44
1000,2000,3754,4000,5000,6366,7006,8079,9002,10002,11002,12009,13588,14001,21,2364.29,0.08,-252.93,115.99,56.14,0.4
